strategy,cumulative_return,annualized_return,annualized_volatility,sharpe,max_drawdown
ppo,0.06741414942483104,0.022162332989427158,0.017479477726079207,1.2645226766134858,-0.02237868409591212
sma,0.40797308449055314,0.12165996975872484,0.11120913394026559,1.0896212228336215,-0.11805301289838417
