model,cumulative_return,annualized_return,annualized_volatility,sharpe,max_drawdown
results/models/ppo_seed1,0.7374819986964309,0.2039632355320804,0.15669423023759202,1.2645226766134783,-0.18755230403972287
results/models/ppo_seed2,0.4671249810793019,0.1374516620307511,0.10648458577362273,1.2644288238210302,-0.13060355464101212
results/models/ppo_seed3,0.40190926766848145,0.12020598499904978,0.09333995504621913,1.2645226766134825,-0.11521100534825074
sma_baseline,0.40797308449055314,0.12165996975872484,0.11120913394026559,1.0896212228336215,-0.11805301289838417
