Price,Adj Close,Close,High,Low,Open,Volume,returns,rsi,ma10,ma50,atr,macd_diff
Ticker,SPY,SPY,SPY,SPY,SPY,SPY,,,,,,
Date,,,,,,,,,,,,
2010-01-04,85.2791748046875,113.33000183105469,113.38999938964844,111.51000213623047,112.37000274658203,118944600,0.0,50.0,85.8593650817871,83.968974609375,0.0,0.0
2010-01-05,85.50495910644531,113.62999725341797,113.68000030517578,112.8499984741211,113.26000213623047,111579900,0.0026475901329359175,50.0,85.8593650817871,83.968974609375,0.0,0.0
2010-01-06,85.56515502929688,113.70999908447266,113.98999786376953,113.43000030517578,113.5199966430664,116074400,0.0007040050481355031,50.0,85.8593650817871,83.968974609375,0.0,0.0
2010-01-07,85.92634582519531,114.19000244140625,114.33000183105469,113.18000030517578,113.5,131091100,0.00422123697169452,50.0,85.8593650817871,83.968974609375,0.0,0.0
2010-01-08,86.21228790283203,114.56999969482422,114.62000274658203,113.66000366210938,113.88999938964844,126402800,0.003327757917442664,50.0,85.8593650817871,83.968974609375,0.0,0.0
2010-01-11,86.33267974853516,114.7300033569336,115.12999725341797,114.23999786376953,115.08000183105469,106375700,0.0013964580761249845,50.0,85.8593650817871,83.968974609375,0.0,0.0
2010-01-12,85.52752685546875,113.66000366210938,114.20999908447266,113.22000122070312,113.97000122070312,163333500,-0.00932616589003854,50.0,85.8593650817871,83.968974609375,0.0,0.0
2010-01-13,86.24988555908203,114.62000274658203,114.94000244140625,113.37000274658203,113.94999694824219,161822000,0.008445920631307224,50.0,85.8593650817871,83.968974609375,0.0,0.0
2010-01-14,86.48316955566406,114.93000030517578,115.13999938964844,114.41999816894531,114.48999786376953,115718800,0.0027047455781519236,50.0,85.8593650817871,83.968974609375,0.0,0.0
2010-01-15,85.51246643066406,113.63999938964844,114.83999633789062,113.19999694824219,114.7300033569336,212283100,-0.01122418535291092,50.0,85.8593650817871,83.968974609375,0.0,0.0
2010-01-19,86.58100891113281,115.05999755859375,115.12999725341797,113.58999633789062,113.62000274658203,139172700,0.012495750912940418,50.0,85.98954849243164,83.968974609375,0.0,0.0
2010-01-20,85.70062255859375,113.88999938964844,114.44999694824219,112.9800033569336,114.27999877929688,216490200,-0.010168354049127526,50.0,86.00911483764648,83.968974609375,0.0,0.0
2010-01-21,84.05266571044922,111.69999694824219,114.2699966430664,111.55999755859375,113.91999816894531,344859600,-0.01922922843434205,50.0,85.85786590576171,83.968974609375,0.0,0.0
2010-01-22,82.178955078125,109.20999908447266,111.73999786376953,109.08999633789062,111.19999694824219,345942400,-0.022292102415632065,27.00571341872103,85.48312683105469,83.968974609375,1.484285627092634,0.0
2010-01-25,82.600341796875,109.7699966430664,110.41000366210938,109.41000366210938,110.20999908447266,186937500,0.005127671900298614,31.251210905768716,85.12193222045899,83.968974609375,1.4639798378457827,0.0
2010-01-26,82.25421905517578,109.30999755859375,110.47000122070312,109.04000091552734,109.33999633789062,211168800,-0.004190330622969807,29.722052447799797,84.71408615112304,83.968974609375,1.461552728369354,0.0
2010-01-27,82.6455078125,109.83000183105469,110.08000183105469,108.33000183105469,109.16999816894531,271863600,0.0047570661033415895,33.673228814451605,84.42588424682617,83.968974609375,1.4821561049144,0.0
2010-01-28,81.69734954833984,108.56999969482422,110.25,107.91000366210938,110.19000244140625,316104000,-0.011472592875964471,29.364941706703178,83.97063064575195,83.968974609375,1.5434304072698448,0.0
2010-01-29,80.80943298339844,107.38999938964844,109.80000305175781,107.22000122070312,109.04000091552734,310677600,-0.01086836439431893,26.008964895809555,83.40325698852538,83.968974609375,1.6174712232544763,0.0
2010-02-01,82.06611633300781,109.05999755859375,109.06999969482422,107.5,108.1500015258789,187865000,0.01555119623061274,36.985573578199656,83.05862197875976,83.968974609375,1.6219375862488552,0.0
2010-02-02,83.05934143066406,110.37999725341797,110.58999633789062,108.87999725341797,109.26000213623047,216327900,0.012102742788825838,44.05027111281856,82.70645523071289,83.968974609375,1.6282276932648412,0.0
